seq_id,genus_taxid
RS_GCF_000955805.1,286.0
RS_GCF_000380335.1,352.0
RS_GCF_007830255.1,69961.0
RS_GCF_001267175.1,1654787.0
RS_GCF_001580025.1,1827307.0
RS_GCF_003991975.1,2758906.0
RS_GCF_009653635.1,305899.0
GB_GCA_002238585.1,1036132.0
RS_GCF_900174585.1,2066475.0
RS_GCF_013425485.1,2768738.0
RS_GCF_000428585.1,202771.0
RS_GCF_003864255.1,2717331.0
RS_GCF_002257525.1,2745.0
RS_GCF_007954585.1,1897649.0
RS_GCF_900106955.1,1395977.0
RS_GCF_003206695.1,404432.0
RS_GCF_013393405.1,42054.0
RS_GCF_002157205.1,504090.0
RS_GCF_000621205.1,376488.0
RS_GCF_000526695.1,64322.0
RS_GCF_003610015.1,33073.0
RS_GCF_000591415.1,204286.0
RS_GCF_000686905.1,64968.0
RS_GCF_001709345.1,1861843.0
RS_GCF_900108915.1,196078.0
RS_GCF_002150805.1,965.0
RS_GCF_000428985.1,48075.0
RS_GCF_008973755.1,267849.0
RS_GCF_001305295.1,75687.0
RS_GCF_001597725.1,459520.0
RS_GCF_003957515.1,515417.0
RS_GCF_003345655.1,1775292.0
RS_GCF_003194385.1,75683.0
RS_GCF_900156675.1,759360.0
RS_GCF_000355675.1,187492.0
RS_GCF_000422845.1,196079.0
RS_GCF_002237535.1,1537406.0
RS_GCF_000967895.1,188907.0
RS_GCF_012295615.1,599651.0
RS_GCF_003367315.1,231683.0
RS_GCF_004341165.1,230494.0
RS_GCF_004768465.1,2562805.0
RS_GCF_000940805.1,1445504.0
RS_GCF_003577475.1,2694839.0
RS_GCF_000521805.1,28253.0
RS_GCF_000170835.1,2742.0
RS_GCF_003096655.1,1857014.0
RS_GCF_002514725.1,2047735.0
RS_GCF_004851605.1,2650549.0
RS_GCF_002286965.1,332518.0
RS_GCF_002260525.1,158481.0
RS_GCF_002162375.1,141450.0
RS_GCF_003634075.1,2425.0
RS_GCF_000013665.1,316625.0
RS_GCF_002157225.2,2036021.0
RS_GCF_902141825.1,1123951.0
RS_GCF_003265435.1,2038244.0
RS_GCF_001292705.1,1792291.0
RS_GCF_000209515.1,62100.0
RS_GCF_011440395.1,1458243.0
RS_GCF_011602085.1,1122284.0
RS_GCF_007004655.1,2752545.0
RS_GCF_000953825.1,10.0
RS_GCF_000423345.1,359337.0
RS_GCF_001187555.1,940550.0
RS_GCF_014192475.1,447467.0
RS_GCF_001639145.1,48073.0
RS_GCF_000744735.1,1123967.0
RS_GCF_003688415.1,745153.0
RS_GCF_902705825.1,1217416.0
RS_GCF_000423125.1,475794.0
RS_GCF_010669285.1,2678529.0
RS_GCF_003402235.1,1857932.0
RS_GCF_000158155.1,393661.0
RS_GCF_000764025.1,1341120.0
RS_GCF_004340525.1,1132027.0
RS_GCF_902518075.1,1341118.0
RS_GCF_002915595.1,2689588.0
RS_GCF_001586255.1,1434050.0
RS_GCF_000420325.1,630749.0
RS_GCF_014191715.1,1654711.0
RS_GCF_900120175.1,1084558.0
RS_GCF_000373485.1,503005.0
RS_GCF_003752585.1,1434044.0
RS_GCF_001444425.1,1524249.0
RS_GCF_009650135.1,418700.0
RS_GCF_000368785.1,469.0
RS_GCF_001982605.1,222991.0
RS_GCF_009725675.1,497.0
RS_GCF_002014965.1,475.0
RS_GCF_003051055.1,186829.0
RS_GCF_004217445.1,1742986.0
RS_GCF_001676655.1,661182.0
RS_GCF_003387535.1,1268272.0
RS_GCF_000300995.1,59753.0
RS_GCF_009746715.1,2025617.0
RS_GCF_000493015.1,547.0
RS_GCF_001652505.2,1330545.0
RS_GCF_011290365.1,83654.0
RS_GCF_014298075.1,160674.0
RS_GCF_000828055.2,570.0
RS_GCF_902706235.1,2726810.0
RS_GCF_001598855.1,1330546.0
RS_GCF_000734965.1,158851.0
RS_GCF_000735455.1,158876.0
RS_GCF_014218705.1,579.0
RS_GCF_000330845.1,1504576.0
RS_GCF_002949675.1,561.0
RS_GCF_008692785.1,590.0
RS_GCF_000759755.1,544.0
RS_GCF_007680145.1,2055880.0
RS_GCF_001187865.1,2303321.0
RS_GCF_900184035.1,1330547.0
RS_GCF_000321045.1,447792.0
RS_GCF_001277195.1,413496.0
RS_GCF_000463115.2,1649295.0
RS_GCF_009907385.1,1903434.0
RS_GCF_000463155.2,1649298.0
RS_GCF_000262305.1,1335483.0
RS_GCF_001655675.1,451512.0
RS_GCF_003601925.1,82976.0
RS_GCF_000277545.1,158483.0
RS_GCF_011035165.1,32199.0
RS_GCF_003391335.1,472825.0
RS_GCF_004296535.1,204619.0
GB_GCA_002688505.1,2608261.0
RS_GCF_003956045.1,1302410.0
RS_GCF_002073895.1,401618.0
RS_GCF_000008885.1,51228.0
GB_GCA_001242845.1,1699619.0
RS_GCF_000828815.1,1682492.0
RS_GCF_009827135.1,203804.0
RS_GCF_000828515.1,409304.0
RS_GCF_002858935.1,53335.0
RS_GCF_000735525.1,82986.0
RS_GCF_002752555.1,1356488.0
RS_GCF_000518745.1,1297562.0
RS_GCF_001571305.1,551.0
RS_GCF_002895925.1,2100764.0
RS_GCF_002006995.1,1780190.0
RS_GCF_000513215.1,613.0
RS_GCF_001976145.1,1745211.0
RS_GCF_002291425.1,929812.0
RS_GCF_003614975.1,34037.0
RS_GCF_000735345.1,41201.0
RS_GCF_000257645.1,1565532.0
RS_GCF_003332275.1,2678248.0
RS_GCF_002858715.1,2716544.0
RS_GCF_000312485.1,629.0
RS_GCF_000021705.1,568987.0
RS_GCF_000143625.1,568988.0
RS_GCF_000023605.1,122277.0
RS_GCF_004342665.1,160433.0
RS_GCF_003115845.1,71655.0
RS_GCF_000365305.1,204037.0
RS_GCF_000688655.1,1082702.0
RS_GCF_000264765.2,635.0
RS_GCF_900095695.1,568.0
RS_GCF_003363015.1,1822002.0
RS_GCF_009800925.1,82978.0
RS_GCF_900112475.1,82984.0
RS_GCF_004295645.1,2172100.0
RS_GCF_900478135.1,82980.0
RS_GCF_900087055.1,702.0
RS_GCF_000754265.1,198346.0
RS_GCF_900048045.1,1906660.0
RS_GCF_900048035.1,1906661.0
RS_GCF_900044015.1,1906659.0
RS_GCF_000364725.1,1048757.0
RS_GCF_900039485.1,1906657.0
RS_GCF_000010085.1,84565.0
RS_GCF_004343195.1,466108.0
RS_GCF_000252955.1,626.0
RS_GCF_003343245.1,29487.0
RS_GCF_900455085.1,586.0
RS_GCF_001294465.1,158848.0
RS_GCF_013460135.1,637.0
RS_GCF_003144495.1,583.0
RS_GCF_001006565.1,581.0
RS_GCF_001690705.1,1193503.0
RS_GCF_000807275.1,1335631.0
RS_GCF_003634275.1,743714.0
RS_GCF_000471645.3,1505768.0
RS_GCF_900111395.1,336803.0
RS_GCF_001679045.1,724.0
RS_GCF_002000545.1,1960084.0
RS_GCF_003130075.1,416916.0
RS_GCF_900186835.1,745.0
RS_GCF_004565475.1,53416.0
RS_GCF_011455875.1,697331.0
RS_GCF_004363295.1,1648517.0
RS_GCF_002795425.1,2070447.0
RS_GCF_004339025.1,256730.0
RS_GCF_004340985.1,1648514.0
RS_GCF_000752995.2,908284.0
RS_GCF_002795405.1,2070443.0
RS_GCF_900450705.1,292486.0
RS_GCF_002015075.1,214906.0
RS_GCF_013377195.1,109471.0
RS_GCF_000521605.1,75984.0
RS_GCF_000188255.1,713.0
RS_GCF_009761375.1,1855419.0
RS_GCF_009684715.1,1249016.0
RS_GCF_011455495.1,1649317.0
RS_GCF_013377275.1,1520333.0
RS_GCF_004519515.1,2094023.0
RS_GCF_001038205.1,1857532.0
RS_GCF_004345745.1,271159.0
RS_GCF_004346205.1,476528.0
RS_GCF_013377295.1,146805.0
RS_GCF_001678475.1,155493.0
RS_GCF_000772535.1,658623.0
RS_GCF_900184095.1,662.0
RS_GCF_002954715.1,511678.0
RS_GCF_003025555.1,657.0
RS_GCF_002157795.1,2014233.0
RS_GCF_900055185.1,188143.0
RS_GCF_001995985.1,51366.0
RS_GCF_002216855.1,2042066.0
RS_GCF_002795305.1,642.0
RS_GCF_014202415.1,43947.0
RS_GCF_002936955.1,225143.0
RS_GCF_002237365.1,347533.0
RS_GCF_002245495.1,129577.0
RS_GCF_003072645.1,2802288.0
RS_GCF_900116345.1,83770.0
RS_GCF_000188195.1,674963.0
RS_GCF_000482845.1,13334.0
RS_GCF_900115655.1,866.0
RS_GCF_000378405.1,83768.0
RS_GCF_003585935.1,2873964.0
RS_GCF_004378355.1,67572.0
RS_GCF_003596335.1,1914248.0
RS_GCF_008931805.1,58050.0
RS_GCF_002835545.1,1573826.0
RS_GCF_000414175.1,261825.0
RS_GCF_000429505.1,882379.0
RS_GCF_003610775.1,2676252.0
RS_GCF_004339545.1,412033.0
RS_GCF_002838165.1,22.0
RS_GCF_004358445.1,2547964.0
RS_GCF_002282895.1,375673.0
RS_GCF_012295575.1,44011.0
RS_GCF_002165625.1,1434025.0
RS_GCF_004336975.1,1775176.0
RS_GCF_005887095.1,53246.0
RS_GCF_002954545.1,907197.0
RS_GCF_000987775.1,336830.0
RS_GCF_000245735.1,111142.0
RS_GCF_004369005.1,67575.0
RS_GCF_003990335.1,2071980.0
RS_GCF_900107845.1,265980.0
RS_GCF_000374485.1,296014.0
RS_GCF_005885605.1,28228.0
RS_GCF_006439335.1,1407056.0
RS_GCF_002077175.1,2848171.0
RS_GCF_002000085.1,2848177.0
RS_GCF_000948985.1,137583.0
RS_GCF_900111755.1,1518149.0
RS_GCF_000300815.1,1172191.0
RS_GCF_000730385.1,226.0
RS_GCF_006228385.1,288793.0
RS_GCF_006494365.1,2662254.0
RS_GCF_004798935.1,89404.0
RS_GCF_000429145.1,249523.0
RS_GCF_000314995.1,1621534.0
RS_GCF_007197995.1,1406885.0
RS_GCF_014270035.1,2125985.0
RS_GCF_002201535.1,1751872.0
RS_GCF_003143555.1,2661818.0
RS_GCF_002887595.1,366580.0
RS_GCF_003987045.1,2800384.0
RS_GCF_003226255.1,135575.0
RS_GCF_003986975.1,1249554.0
RS_GCF_003751625.1,745410.0
RS_GCF_003194565.1,261963.0
RS_GCF_007004765.1,1920241.0
RS_GCF_003148745.1,1502941.0
RS_GCF_009756665.1,1649479.0
RS_GCF_003097315.1,2590445.0
RS_GCF_009805595.1,189384.0
GB_GCA_000147015.1,884214.0
RS_GCF_000300075.1,235572.0
RS_GCF_000953435.1,1495768.0
RS_GCF_000015105.1,1541743.0
RS_GCF_008711465.1,262.0
RS_GCF_012222965.1,1869285.0
RS_GCF_001880225.1,2670346.0
RS_GCF_008711525.1,2056696.0
RS_GCF_002803295.2,28905.0
RS_GCF_003428155.1,2056689.0
RS_GCF_000379445.1,482136.0
RS_GCF_014109805.1,445.0
RS_GCF_900187355.1,465.0
RS_GCF_902459475.1,254245.0
RS_GCF_000815025.1,776.0
RS_GCF_000257395.1,59195.0
RS_GCF_001431295.1,1755683.0
RS_GCF_000297215.2,1237.0
RS_GCF_001431595.1,40323.0
RS_GCF_000802365.1,338.0
RS_GCF_011801475.1,2370.0
RS_GCF_010093205.1,83618.0
RS_GCF_004358165.1,83614.0
RS_GCF_004346265.1,141948.0
RS_GCF_000731095.1,68.0
RS_GCF_003814555.1,1649512.0
RS_GCF_000743535.1,490567.0
RS_GCF_000429065.1,292713.0
RS_GCF_014202935.1,1344362.0
RS_GCF_900101825.1,265718.0
RS_GCF_014202825.1,1648505.0
RS_GCF_900114325.1,75309.0
RS_GCF_003350925.1,231454.0
RS_GCF_003148905.1,155196.0
RS_GCF_003967035.1,2707020.0
RS_GCF_000242255.2,70411.0
RS_GCF_011759365.1,242605.0
RS_GCF_000761445.1,1649642.0
RS_GCF_002077135.1,1218803.0
RS_GCF_000953855.2,1544982.0
RS_GCF_900115085.1,323413.0
RS_GCF_005503555.1,886360.0
RS_GCF_004168365.1,2709666.0
RS_GCF_004363655.1,1453544.0
RS_GCF_003015185.1,2233801.0
RS_GCF_004343305.1,999506.0
RS_GCF_010499265.1,1676142.0
RS_GCF_002591915.1,863253.0
RS_GCF_009676705.1,1335745.0
RS_GCF_000374645.1,2368.0
RS_GCF_000153205.1,35796.0
RS_GCF_002356555.2,85108.0
RS_GCF_000014785.1,133193.0
RS_GCF_900110585.1,406099.0
RS_GCF_014202975.1,1538468.0
RS_GCF_001579945.1,469322.0
RS_GCF_001677435.1,1738655.0
RS_GCF_012241385.1,413435.0
RS_GCF_010092425.1,1861863.0
RS_GCF_900113085.1,1434005.0
RS_GCF_000711245.1,1274363.0
RS_GCF_003052265.1,2689591.0
RS_GCF_000271305.1,243627.0
RS_GCF_004364935.1,381430.0
RS_GCF_003730135.1,2689590.0
RS_GCF_000420645.1,64001.0
RS_GCF_000733765.1,1266053.0
RS_GCF_003177035.1,180541.0
RS_GCF_002088235.1,1558474.0
RS_GCF_003151135.1,2320199.0
RS_GCF_004684205.1,2597258.0
RS_GCF_000384075.1,762296.0
RS_GCF_000496735.2,1410680.0
RS_GCF_900163745.1,200670.0
RS_GCF_000383855.1,429.0
RS_GCF_000733855.1,39773.0
RS_GCF_000372865.1,160800.0
RS_GCF_009828925.1,2713642.0
RS_GCF_001644045.1,416.0
RS_GCF_000733935.1,1221209.0
RS_GCF_002189065.1,1565313.0
RS_GCF_900155475.1,1760987.0
RS_GCF_000427385.1,73778.0
RS_GCF_000424685.1,413.0
RS_GCF_004168015.1,1918951.0
RS_GCF_009498235.1,1808977.0
RS_GCF_000934725.1,2045060.0
RS_GCF_001312345.1,1295378.0
RS_GCF_000421465.1,244364.0
RS_GCF_000384415.1,34067.0
RS_GCF_000156355.1,40222.0
RS_GCF_000143085.1,1227.0
RS_GCF_004001245.1,2034504.0
RS_GCF_900102855.1,397268.0
RS_GCF_004366735.1,445670.0
RS_GCF_900112605.1,476278.0
GB_GCA_001447805.1,1813600.0
RS_GCF_003967195.1,1860077.0
GB_GCA_001640045.1,90372.0
RS_GCF_001723685.1,1031282.0
RS_GCF_000828835.1,40751.0
RS_GCF_001305575.3,1021.0
RS_GCF_002149925.1,1930932.0
RS_GCF_001697225.1,1934947.0
RS_GCF_013385175.1,85072.0
RS_GCF_009664085.1,85073.0
RS_GCF_000585215.1,2018671.0
RS_GCF_010820565.1,57488.0
RS_GCF_000227745.2,13724.0
RS_GCF_002958735.1,1047.0
RS_GCF_004342175.1,127457.0
RS_GCF_000223985.1,1056.0
RS_GCF_012276755.1,85076.0
RS_GCF_002813775.1,53392.0
RS_GCF_000379525.1,53452.0
RS_GCF_000327045.1,156885.0
RS_GCF_008632335.1,85079.0
GB_GCA_009908845.1,85074.0
RS_GCF_014145225.1,212111.0
RS_GCF_900092655.1,1907535.0
GB_GCA_001044195.1,44937.0
GB_GCA_000168735.1,393764.0
RS_GCF_000428045.1,349742.0
RS_GCF_000828615.1,1608298.0
RS_GCF_004339085.1,1617886.0
RS_GCF_003932505.1,1273155.0
RS_GCF_000531125.1,1400859.0
RS_GCF_012939995.1,221279.0
RS_GCF_003182095.1,1400827.0
RS_GCF_003337735.1,1511694.0
RS_GCF_003751635.1,1759371.0
RS_GCF_000377345.1,106633.0
RS_GCF_000225005.1,1051.0
RS_GCF_900156225.1,233099.0
RS_GCF_000227725.1,154346.0
RS_GCF_001753165.1,1765964.0
RS_GCF_900167255.1,2212691.0
RS_GCF_000380185.1,2212731.0
RS_GCF_900107695.1,1030.0
RS_GCF_003172895.1,45247.0
RS_GCF_004339015.1,998014.0
RS_GCF_002215215.1,437504.0
RS_GCF_001614315.2,1929135.0
RS_GCF_000384235.1,28884.0
RS_GCF_013282625.1,2039723.0
RS_GCF_000214825.1,933.0
RS_GCF_900141795.1,364031.0
RS_GCF_002252045.1,112008.0
RS_GCF_000375345.1,582472.0
RS_GCF_900460215.1,13275.0
RS_GCF_001263335.1,869.0
RS_GCF_001888055.1,1955421.0
RS_GCF_900637305.1,2717.0
RS_GCF_009734265.1,2035712.0
RS_GCF_000024765.1,109262.0
GB_GCA_002631715.1,2093740.0
RS_GCF_003315245.1,904708.0
RS_GCF_002355735.1,1744881.0
RS_GCF_002355415.1,1692042.0
RS_GCF_003333315.1,986106.0
RS_GCF_003347515.1,28065.0
RS_GCF_002379085.1,52972.0
RS_GCF_007677875.1,747294.0
RS_GCF_001432305.1,232523.0
RS_GCF_002754475.1,283.0
RS_GCF_000282995.1,1649468.0
RS_GCF_900103645.1,2038733.0
RS_GCF_003013695.1,2678886.0
RS_GCF_000204645.1,201096.0
RS_GCF_003755025.1,238749.0
RS_GCF_002797445.1,12916.0
RS_GCF_000193225.1,364316.0
RS_GCF_000739995.1,352449.0
RS_GCF_007655255.1,1434001.0
RS_GCF_009906855.1,54066.0
RS_GCF_000518645.1,281915.0
RS_GCF_014303735.1,34072.0
RS_GCF_900156165.1,433923.0
RS_GCF_000745855.1,151754.0
RS_GCF_013155545.1,174951.0
RS_GCF_003063475.1,665874.0
RS_GCF_013423955.1,219181.0
RS_GCF_000374625.1,28219.0
RS_GCF_004833285.1,198705.0
RS_GCF_003843835.1,1940136.0
RS_GCF_001761385.1,47420.0
RS_GCF_000828915.1,2490452.0
RS_GCF_013432195.1,360239.0
RS_GCF_002980595.1,263066.0
RS_GCF_002837135.1,183669.0
RS_GCF_007556595.1,114248.0
RS_GCF_001425705.1,335058.0
RS_GCF_004362405.1,683756.0
RS_GCF_001598255.1,65047.0
RS_GCF_014192155.1,93681.0
RS_GCF_004004565.1,644355.0
RS_GCF_004362525.1,318147.0
RS_GCF_013366375.1,212743.0
RS_GCF_004011805.1,1114981.0
RS_GCF_001295865.1,28067.0
RS_GCF_002222655.1,36862.0
RS_GCF_001571085.1,312063.0
RS_GCF_000969605.1,391952.0
RS_GCF_000768065.1,92793.0
RS_GCF_013410775.1,34102.0
RS_GCF_000019785.1,88.0
RS_GCF_000015725.1,316612.0
RS_GCF_004217215.1,1146865.0
RS_GCF_006386545.1,2682247.0
RS_GCF_000381125.1,196013.0
RS_GCF_002930615.1,1649514.0
RS_GCF_002933415.1,215579.0
RS_GCF_003991585.1,2709671.0
RS_GCF_000377645.1,32012.0
RS_GCF_000482785.1,203697.0
RS_GCF_009455685.1,1822464.0
RS_GCF_005280735.1,2571160.0
RS_GCF_000012945.1,32008.0
RS_GCF_001545035.1,1827195.0
RS_GCF_900155955.1,2571159.0
RS_GCF_003628125.1,2718863.0
RS_GCF_001684025.1,224135.0
RS_GCF_003966915.1,1810868.0
RS_GCF_000970345.1,2038280.0
RS_GCF_902459565.1,93217.0
RS_GCF_001659725.1,44013.0
RS_GCF_900101625.1,106589.0
RS_GCF_000620465.1,48736.0
RS_GCF_003416985.1,75654.0
RS_GCF_013284265.1,212744.0
RS_GCF_900116645.1,1522432.0
RS_GCF_000723165.1,29580.0
RS_GCF_900101265.1,149698.0
RS_GCF_002257565.1,963.0
RS_GCF_000221045.1,202907.0
RS_GCF_011947285.1,1229970.0
RS_GCF_903993245.1,303379.0
GB_GCA_014635845.1,223927.0
RS_GCF_010974945.1,1344552.0
RS_GCF_004114795.1,157932.0
RS_GCF_008831265.1,2705466.0
RS_GCF_014284365.1,401469.0
RS_GCF_002976435.1,2249306.0
RS_GCF_000158475.2,846.0
RS_GCF_003335215.1,2109346.0
RS_GCF_001571245.1,222.0
RS_GCF_900078335.1,517.0
RS_GCF_004216755.1,257820.0
RS_GCF_900089455.2,1921582.0
RS_GCF_013416435.1,1403714.0
RS_GCF_003096595.1,305976.0
RS_GCF_003315175.1,1477505.0
RS_GCF_004346225.1,1148163.0
RS_GCF_002209565.1,1074468.0
RS_GCF_004342005.1,2017546.0
RS_GCF_002443155.1,507.0
RS_GCF_011290505.1,1100891.0
RS_GCF_014203015.1,359336.0
RS_GCF_000373745.1,90243.0
RS_GCF_000621025.1,124224.0
RS_GCF_000743945.1,1472344.0
RS_GCF_013133795.1,106146.0
RS_GCF_000687755.1,29574.0
RS_GCF_000521505.1,290425.0
RS_GCF_003123725.1,2678534.0
RS_GCF_013408655.1,152267.0
RS_GCF_007558815.1,1835332.0
RS_GCF_013004065.1,131079.0
RS_GCF_004363775.1,1910924.0
GB_GCA_014652675.1,1911581.0
RS_GCF_003472385.1,1980697.0
RS_GCF_001182045.1,2494213.0
RS_GCF_000250875.1,40544.0
RS_GCF_000205025.1,577310.0
RS_GCF_002221595.1,1918598.0
RS_GCF_014202215.1,2041017.0
RS_GCF_003892345.1,47670.0
RS_GCF_009746125.1,2706000.0
RS_GCF_002354895.1,33057.0
RS_GCF_006496635.1,12960.0
RS_GCF_000349945.1,551759.0
RS_GCF_012927165.1,349.0
RS_GCF_007625155.1,139331.0
RS_GCF_000425565.1,203470.0
RS_GCF_003574215.1,70774.0
RS_GCF_000373965.1,392735.0
RS_GCF_013184235.1,1769726.0
RS_GCF_000372885.1,378210.0
RS_GCF_000828635.1,1054211.0
GB_GCA_002424865.1,1914449.0
RS_GCF_003865015.1,1499082.0
RS_GCF_007833355.1,311181.0
RS_GCF_900174485.1,157591.0
RS_GCF_009469615.1,146936.0
RS_GCF_000429665.1,146935.0
RS_GCF_004217225.1,146937.0
RS_GCF_008274805.1,1911577.0
RS_GCF_900089945.1,83766.0
RS_GCF_011881425.1,1064.0
RS_GCF_000735045.1,416212.0
RS_GCF_001618065.1,482.0
RS_GCF_014054525.1,194195.0
RS_GCF_002951835.1,71.0
RS_GCF_900111845.1,32257.0
RS_GCF_014054725.1,334107.0
RS_GCF_001648355.1,538.0
RS_GCF_002777855.1,1193515.0
RS_GCF_000745895.1,422440.0
RS_GCF_000382305.1,59.0
RS_GCF_000007705.1,535.0
RS_GCF_005155025.1,407217.0
RS_GCF_900090205.1,57739.0
RS_GCF_004346645.1,397456.0
RS_GCF_000174355.1,568394.0
RS_GCF_000422925.1,400060.0
RS_GCF_004345725.1,1654931.0
RS_GCF_000423285.1,168470.0
RS_GCF_000620105.1,57479.0
RS_GCF_000420525.1,187.0
RS_GCF_003201855.1,1649488.0
RS_GCF_013423785.1,230666.0
RS_GCF_000620145.1,400947.0
RS_GCF_003952345.1,32014.0
RS_GCF_000430805.1,551208.0
RS_GCF_000711875.1,397275.0
RS_GCF_001808185.1,885864.0
RS_GCF_005048205.1,585890.0
RS_GCF_008033135.1,1055692.0
RS_GCF_014202765.1,300264.0
RS_GCF_001294205.1,1433987.0
RS_GCF_900115065.1,83764.0
RS_GCF_002735695.1,240411.0
RS_GCF_014202905.1,1433992.0
RS_GCF_012641365.1,650341.0
RS_GCF_003046585.1,914.0
RS_GCF_003046405.1,35798.0
RS_GCF_000025705.1,314343.0
RS_GCF_013168275.1,453161.0
RS_GCF_000746095.1,1443590.0
RS_GCF_000145255.1,96.0
RS_GCF_000971475.1,935200.0
RS_GCF_011764585.1,2772198.0
RS_GCF_004346685.1,1738658.0
RS_GCF_009938015.1,1778653.0
RS_GCF_000012745.1,919.0
RS_GCF_003967275.1,1938335.0
RS_GCF_000799735.1,359407.0
RS_GCF_000378225.1,16.0
RS_GCF_003730115.1,2676063.0
RS_GCF_900187985.1,404.0
RS_GCF_009858335.1,81682.0
RS_GCF_006365315.1,1679002.0
RS_GCF_003112435.1,2137425.0
RS_GCF_000340905.1,33055.0
RS_GCF_000441555.1,1381133.0
RS_GCF_009662475.1,119977.0
RS_GCF_000423825.1,119979.0
RS_GCF_001399755.1,492233.0
RS_GCF_003665155.1,377315.0
RS_GCF_000744415.1,2045304.0
RS_GCF_002211285.1,379.0
RS_GCF_000731315.1,1525371.0
RS_GCF_902502825.1,1903858.0
RS_GCF_002008225.1,357.0
RS_GCF_014197145.1,2040486.0
RS_GCF_013283645.1,28105.0
RS_GCF_900469625.1,106591.0
RS_GCF_001426565.1,1612611.0
RS_GCF_003432075.1,323620.0
RS_GCF_900220975.1,13159.0
RS_GCF_005924265.1,293088.0
RS_GCF_001011155.1,274591.0
RS_GCF_004354915.1,1915405.0
RS_GCF_900537175.1,1649463.0
RS_GCF_002750855.1,2661800.0
RS_GCF_006442815.1,68287.0
RS_GCF_014138625.1,31988.0
RS_GCF_014534685.1,1763452.0
RS_GCF_003590645.1,93368.0
RS_GCF_902809845.1,449972.0
RS_GCF_000300515.1,245876.0
RS_GCF_000497755.1,610116.0
GB_GCA_014652875.1,1840210.0
GB_GCA_014652835.1,2769459.0
RS_GCF_002238045.1,2024982.0
RS_GCF_002727065.1,2282761.0
RS_GCF_000374465.1,152180.0
RS_GCF_003149475.2,1915401.0
RS_GCF_013358405.1,1594166.0
RS_GCF_001463765.1,414371.0
RS_GCF_010500815.1,1775688.0
RS_GCF_000153705.1,217510.0
RS_GCF_000421645.1,182269.0
RS_GCF_002893625.1,2269381.0
RS_GCF_900167365.1,2036017.0
RS_GCF_001953055.1,2712688.0
RS_GCF_003574655.1,655352.0
RS_GCF_011058215.1,46913.0
RS_GCF_014083885.1,1827478.0
RS_GCF_003994485.1,1911566.0
RS_GCF_003992665.1,1082930.0
RS_GCF_004363175.1,623276.0
RS_GCF_000429865.1,1121251.0
RS_GCF_900102695.1,643217.0
RS_GCF_001404515.1,150830.0
RS_GCF_000382365.1,227873.0
RS_GCF_000192745.1,991903.0
RS_GCF_001310815.1,258255.0
RS_GCF_000423705.1,152161.0
RS_GCF_003432385.1,1406135.0
RS_GCF_003258835.1,34016.0
RS_GCF_003258595.1,1904377.0
RS_GCF_000374525.1,580880.0
RS_GCF_900148505.1,433838.0
RS_GCF_000425185.1,261933.0
RS_GCF_013839525.1,2027874.0
RS_GCF_013839445.1,1926253.0
RS_GCF_004362745.1,1920508.0
RS_GCF_001720135.1,1775716.0
RS_GCF_900231165.1,1572860.0
RS_GCF_004328075.1,2610842.0
RS_GCF_900129325.1,166953.0
RS_GCF_014199915.1,81894.0
RS_GCF_900104485.1,1145345.0
RS_GCF_000372825.1,407.0
RS_GCF_903644085.1,2026349.0
RS_GCF_000262405.1,186650.0
RS_GCF_000429045.1,690086.0
RS_GCF_011762225.1,1654719.0
RS_GCF_003201475.1,28209.0
RS_GCF_004342915.1,1017183.0
RS_GCF_900108245.1,85413.0
RS_GCF_000188155.2,133.0
RS_GCF_009936375.1,425.0
RS_GCF_002937075.1,168658.0
RS_GCF_901905185.1,120652.0
RS_GCF_000019845.1,532.0
RS_GCF_000385335.1,1143004.0
RS_GCF_004135935.1,1156568.0
RS_GCF_004137085.1,2723776.0
RS_GCF_009765995.1,1643958.0
RS_GCF_003004785.1,1502180.0
RS_GCF_008641065.1,2717339.0
RS_GCF_003008515.1,1632780.0
